Compound_ID,Protein_ID,Label
1676,Q08499,1
9433,Q08499,1
3182,Q08499,1
2153,Q08499,1
5531,Q08499,1
656652,Q08499,1
11561674,Q08499,1
10450926,Q08499,1
138393292,Q08499,1
44591583,Q08499,1
3671,Q08499,1
127928,Q08499,1
9853498,Q08499,1
5087,Q08499,1
9842556,Q08499,1
14372618,Q08499,1
90111638,Q08499,1
134611892,Q08499,1
64119,Q08499,1
4977,Q08499,1
91268,Q08499,1
6241,Q08499,1
23675769,Q08499,1
16218860,Q08499,1
23663537,Q08499,1
441345,Q08499,1
5362399,Q08499,1
5362397,Q08499,1
70882,Q08499,1
4680,Q08499,1
46174074,Q08499,1
6084,Q08499,1
23700081,Q08499,1
9687,Q08499,1
66601656,Q08499,1
23663967,Q08499,1
41946,Q08499,1
70881,Q08499,1
71356,Q08499,1
9578243,Q08499,1
6437861,Q08499,1
24864553,Q08499,1
151170,Q08499,1
37274,Q08499,1
9896267,Q08499,1
57855696,Q08499,1
4938,Q08499,1
166553,Q08499,1
154575,Q08499,1
449193,Q08499,1
5092,Q08499,1
6083,P49773,1
168120,P49773,1
6804,P49773,1
17753791,P49773,1
DB02183,P49773,1
6083,P09467,1
69507,P09467,1
445555,P09467,1
5740,P09467,1
446916,P09467,1
24770445,P09467,1
DB05518,P09467,1
6102822,P09467,1
6102820,P09467,1
6102821,P09467,1
24856357,P09467,1
6083,P55263,1
9842606,P55263,1
11987868,P55263,1
9885936,P55263,1
1973,P55263,1
6083,Q8TD43,1
1103,Q8TD43,1
5957,Q8TD43,1
2812,Q8TD43,1
3488,Q8TD43,1
60961,Q8TD43,1
5311358,Q8TD43,1
5311062,Q8TD43,1
6022,Q8TD43,1
2455,Q8TD43,1
10229,Q8TD43,1
33113,Q8TD43,1
2264067,Q8TD43,1
1295523,Q8TD43,1
6083,P30542,1
5957,P30542,1
33741,P30542,1
644019,P30542,1
2519,P30542,1
4740,P30542,1
5429,P30542,1
3758,P30542,1
4046,P30542,1
3446,P30542,1
3878,P30542,1
70691449,P30542,1
11948288,P30542,1
1676,P30542,1
9433,P30542,1
3182,P30542,1
2153,P30542,1
656652,P30542,1
8974,P30542,1
60961,P30542,1
9805430,P30542,1
11717831,P30542,1
6439470,P30542,1
123807,P30542,1
3086599,P30542,1
3035850,P30542,1
73977920,P30542,1
11561692,P30542,1
10981286,P30542,1
11248240,P30542,1
91827346,P30542,1
137553161,P30542,1
448222,P30542,1
123683,P30542,1
219024,P30542,1
93205,P30542,1
136218973,P30542,1
164437,P30542,1
15599147,P30542,1
657378,P30542,1
91827339,P30542,1
9953255,P30542,1
5312112,P30542,1
139030524,P30542,1
135494270,P30542,1
122028,P30542,1
24873485,P30542,1
1917,P30542,1
135489238,P30542,1
135443367,P30542,1
135522368,P30542,1
24780383,P30542,1
2690,P30542,1
5461879,P30542,1
11270783,P30542,1
9953065,P30542,1
1329,P30542,1
10839674,P30542,1
6439091,P30542,1
9821511,P30542,1
5311037,P30542,1
135409562,P30542,1
11627742,P30542,1
11716665,P30542,1
11617054,P30542,1
16109435,P30542,1
138393285,P30542,1
135484064,P30542,1
5310960,P30542,1
393594,P30542,1
3661570,P30542,1
6603931,P30542,1
10046145,P30542,1
10117987,P30542,1
135401232,P30542,1
135433658,P30542,1
5311479,P30542,1
44185871,P30542,1
64627,P30542,1
10668061,P30542,1
176408,P30542,1
9860294,P30542,1
53319341,P30542,1
216466,P30542,1
21874557,P30542,1
91827359,P30542,1
5697,P30542,1
176407,P30542,1
64119,P30542,1
4977,P30542,1
60949,P30542,1
68549,P30542,1
91268,P30542,1
16229,P30542,1
6241,P30542,1
12822649,P30542,1
23675769,P30542,1
5282498,P30542,1
16218860,P30542,1
3082555,P30542,1
23663537,P30542,1
11610599,P30542,1
23724971,P30542,1
158795,P30542,1
6083,P29275,1
5957,P29275,1
2519,P29275,1
4740,P29275,1
DB05936,P29275,1
1676,P29275,1
9433,P29275,1
3182,P29275,1
2153,P29275,1
8974,P29275,1
60961,P29275,1
11717831,P29275,1
6439470,P29275,1
123807,P29275,1
3086599,P29275,1
3035850,P29275,1
11561692,P29275,1
10981286,P29275,1
11248240,P29275,1
9841284,P29275,1
448222,P29275,1
123683,P29275,1
219024,P29275,1
93205,P29275,1
136218973,P29275,1
164437,P29275,1
657378,P29275,1
5312112,P29275,1
135489238,P29275,1
135443367,P29275,1
135522368,P29275,1
24780383,P29275,1
2690,P29275,1
11270783,P29275,1
9953065,P29275,1
1329,P29275,1
6439091,P29275,1
5311037,P29275,1
135409562,P29275,1
11716665,P29275,1
16109435,P29275,1
135484064,P29275,1
5310960,P29275,1
393594,P29275,1
3661570,P29275,1
6603931,P29275,1
10046145,P29275,1
10117987,P29275,1
5311479,P29275,1
11689583,P29275,1
44185871,P29275,1
64627,P29275,1
10668061,P29275,1
176408,P29275,1
9860294,P29275,1
53319341,P29275,1
216466,P29275,1
21874557,P29275,1
5697,P29275,1
176407,P29275,1
169317,P29275,1
53316647,P29275,1
57340157,P29275,1
10221256,P29275,1
5372720,P29275,1
135476605,P29275,1
135529391,P29275,1
135465785,P29275,1
135529386,P29275,1
135443359,P29275,1
135416058,P29275,1
6439089,P29275,1
9926882,P29275,1
1328,P29275,1
163889,P29275,1
393595,P29275,1
5311041,P29275,1
44186581,P29275,1
14016348,P29275,1
126079,P29275,1
4977,P29275,1
91268,P29275,1
12822649,P29275,1
23675769,P29275,1
5282498,P29275,1
16218860,P29275,1
23663537,P29275,1
6083,P29274,1
5957,P29274,1
2519,P29274,1
4740,P29274,1
5429,P29274,1
4046,P29274,1
3878,P29274,1
10680,P29274,1
1676,P29274,1
3182,P29274,1
DB14132,P29274,1
2153,P29274,1
656652,P29274,1
50942,P29274,1
73571,P29274,1
8974,P29274,1
60961,P29274,1
9805430,P29274,1
11717831,P29274,1
6439470,P29274,1
123807,P29274,1
3086599,P29274,1
3035850,P29274,1
9884817,P29274,1
11561692,P29274,1
10981286,P29274,1
11248240,P29274,1
91827346,P29274,1
9841284,P29274,1
448222,P29274,1
123683,P29274,1
219024,P29274,1
93205,P29274,1
136218973,P29274,1
164437,P29274,1
657378,P29274,1
91827339,P29274,1
9953255,P29274,1
5312112,P29274,1
139030524,P29274,1
24780383,P29274,1
2690,P29274,1
5461879,P29274,1
11270783,P29274,1
9953065,P29274,1
1329,P29274,1
6439091,P29274,1
5281616,P29274,1
5311037,P29274,1
135409562,P29274,1
11716665,P29274,1
16109435,P29274,1
138393285,P29274,1
5281670,P29274,1
135484064,P29274,1
5310960,P29274,1
10247549,P29274,1
10500941,P29274,1
10710647,P29274,1
10806465,P29274,1
10593671,P29274,1
10813088,P29274,1
10568125,P29274,1
736736,P29274,1
393594,P29274,1
3661570,P29274,1
6603931,P29274,1
631105,P29274,1
117900,P29274,1
10046145,P29274,1
10117987,P29274,1
135401232,P29274,1
135433658,P29274,1
11689583,P29274,1
44185871,P29274,1
64627,P29274,1
10668061,P29274,1
176408,P29274,1
9860294,P29274,1
216466,P29274,1
21874557,P29274,1
5697,P29274,1
176407,P29274,1
56844240,P29274,1
9833519,P29274,1
5310992,P29274,1
4397,P29274,1
10391971,P29274,1
100022,P29274,1
6917803,P29274,1
65710,P29274,1
169317,P29274,1
123739,P29274,1
252696,P29274,1
53466958,P29274,1
53316647,P29274,1
6716,P29274,1
64119,P29274,1
4977,P29274,1
6241,P29274,1
12822649,P29274,1
5282498,P29274,1
9910098,P29274,1
11627443,P29274,1
9576912,P29274,1
44537963,P29274,1
11618368,P29274,1
6083,P0DMS8,1
5957,P0DMS8,1
11671467,P0DMS8,1
2519,P0DMS8,1
4474,P0DMS8,1
10680,P0DMS8,1
1676,P0DMS8,1
9433,P0DMS8,1
2153,P0DMS8,1
73571,P0DMS8,1
60961,P0DMS8,1
9805430,P0DMS8,1
11717831,P0DMS8,1
6439470,P0DMS8,1
123807,P0DMS8,1
3086599,P0DMS8,1
3035850,P0DMS8,1
73977920,P0DMS8,1
11561692,P0DMS8,1
10981286,P0DMS8,1
11248240,P0DMS8,1
91827346,P0DMS8,1
9841284,P0DMS8,1
448222,P0DMS8,1
123683,P0DMS8,1
219024,P0DMS8,1
93205,P0DMS8,1
136218973,P0DMS8,1
164437,P0DMS8,1
657378,P0DMS8,1
91827339,P0DMS8,1
9953255,P0DMS8,1
5312112,P0DMS8,1
24780383,P0DMS8,1
2690,P0DMS8,1
11270783,P0DMS8,1
9953065,P0DMS8,1
1329,P0DMS8,1
6439091,P0DMS8,1
10251,P0DMS8,1
5281616,P0DMS8,1
5311037,P0DMS8,1
135409562,P0DMS8,1
11716665,P0DMS8,1
16109435,P0DMS8,1
138393285,P0DMS8,1
135484064,P0DMS8,1
5310960,P0DMS8,1
10247549,P0DMS8,1
10500941,P0DMS8,1
10568125,P0DMS8,1
393594,P0DMS8,1
3661570,P0DMS8,1
6603931,P0DMS8,1
117900,P0DMS8,1
10046145,P0DMS8,1
10117987,P0DMS8,1
135401232,P0DMS8,1
135433658,P0DMS8,1
5311479,P0DMS8,1
11689583,P0DMS8,1
44185871,P0DMS8,1
64627,P0DMS8,1
10668061,P0DMS8,1
176408,P0DMS8,1
9860294,P0DMS8,1
216466,P0DMS8,1
21874557,P0DMS8,1
4046493,P0DMS8,1
5697,P0DMS8,1
176407,P0DMS8,1
5310992,P0DMS8,1
4397,P0DMS8,1
252696,P0DMS8,1
6716,P0DMS8,1
6439089,P0DMS8,1
163889,P0DMS8,1
393595,P0DMS8,1
44598833,P0DMS8,1
57523213,P0DMS8,1
125348,P0DMS8,1
10432715,P0DMS8,1
73754993,P0DMS8,1
11711282,P0DMS8,1
25191023,P0DMS8,1
6918097,P0DMS8,1
73754994,P0DMS8,1
252716,P0DMS8,1
9953766,P0DMS8,1
10045876,P0DMS8,1
10065929,P0DMS8,1
9885773,P0DMS8,1
9843120,P0DMS8,1
9802941,P0DMS8,1
135921139,P0DMS8,1
10832101,P0DMS8,1
10448986,P0DMS8,1
12822649,P0DMS8,1
5282498,P0DMS8,1
64689,P02144,1
795,P02144,1
444235,P02144,1
23668193,P02144,1
13195,P02144,1
5280353,P02144,1
76008,P02144,1
131704177,P02144,1
12219,P02144,1
17754111,P02144,1
79124,P02144,1
4474585,P02144,1
79084,P02144,1
11646,P02144,1
281,P02144,1
64689,P23219,1
5359476,P23219,1
9458,P23219,1
445154,P23219,1
11967905,P23219,1
1548887,P23219,1
644019,P23219,1
DB14011,P23219,1
5280581,P23219,1
446284,P23219,1
4075,P23219,1
4201,P23219,1
3052,P23219,1
3308,P23219,1
3059,P23219,1
338,P23219,1
6335412,P23219,1
151166,P23219,1
54684589,P23219,1
54682045,P23219,1
68723,P23219,1
2206,P23219,1
99478,P23219,1
441298,P23219,1
448006,P23219,1
6227,P23219,1
2084,P23219,1
445302,P23219,1
447834,P23219,1
446134,P23219,1
4754,P23219,1
4488,P23219,1
444899,P23219,1
522325,P23219,1
16741227,P23219,1
447835,P23219,1
16741228,P23219,1
48229,P23219,1
8361,P23219,1
DB11201,P23219,1
119032,P23219,1
DB13501,P23219,1
2244,P23219,1
3715,P23219,1
3371,P23219,1
2662,P23219,1
3672,P23219,1
39912,P23219,1
3342,P23219,1
4495,P23219,1
1983,P23219,1
68865,P23219,1
4037,P23219,1
3332,P23219,1
156391,P23219,1
4781,P23219,1
3825,P23219,1
4641,P23219,1
610479,P23219,1
3394,P23219,1
3033,P23219,1
131801158,P23219,1
9922739,P23219,1
196841,P23219,1
9832687,P23219,1
117072557,P23219,1
117072556,P23219,1
4044,P23219,1
4614,P23219,1
11750118,P23219,1
9865808,P23219,1
4306515,P23219,1
139035063,P23219,1
60712,P23219,1
54677470,P23219,1
5359,P23219,1
2466,P23219,1
23663959,P23219,1
54686350,P23219,1
23667642,P23219,1
2176,P23219,1
3395,P23219,1
2097,P23219,1
66066,P23219,1
71771,P23219,1
5720,P23219,1
5282183,P23219,1
23674745,P23219,1
5282193,P23219,1
23663941,P23219,1
11954316,P23219,1
27881,P23219,1
3032790,P23219,1
43382,P23219,1
6436090,P23219,1
9957393,P23219,1
20055507,P23219,1
44179,P23219,1
107641,P23219,1
2136,P23219,1
65655,P23219,1
173701,P23219,1
6247,P23219,1
8591,P23219,1
115087,P23219,1
46174077,P23219,1
9864669,P23219,1
9843941,P23219,1
4038,P23219,1
46174103,P23219,1
68801,P23219,1
108082,P23219,1
25170420,P23219,1
16760658,P23219,1
5282387,P23219,1
5018304,P23219,1
64747,P23219,1
3335,P23219,1
26436,P23219,1
11954362,P23219,1
16683040,P23219,1
23702390,P23219,1
54723875,P23219,1
9841440,P23219,1
23666729,P23219,1
114753,P23219,1
23690315,P23219,1
72099,P23219,1
84003,P23219,1
4237,P23219,1
5632,P23219,1
35375,P23219,1
104811,P23219,1
5338317,P23219,1
46174105,P23219,1
23677829,P23219,1
65870,P23219,1
3673,P23219,1
65464,P23219,1
5147,P23219,1
23663989,P23219,1
12555,P23219,1
44219,P23219,1
23681059,P23219,1
4888,P23219,1
23706216,P23219,1
60542,P23219,1
23674731,P23219,1
54687412,P23219,1
68704,P23219,1
23684815,P23219,1
112362,P23219,1
4921,P23219,1
4409,P23219,1
54677971,P23219,1
5509,P23219,1
2581,P23219,1
5161,P23219,1
5468,P23219,1
54690031,P23219,1
151075,P23219,1
3965,P23219,1
667550,P23219,1
65679,P23219,1
25213,P23219,1
6880,P23219,1
1981,P23219,1
60726,P23219,1
9884642,P23219,1
3826,P23219,1
54676228,P23219,1
64689,P01574,1
64689,P47929,1
449462,P47929,1
64689,P35557,1
9819610,P35557,1
10411846,P35557,1
25229552,P35557,1
449003,P35557,1
16039797,P35557,1
57920094,P35557,1
10432339,P35557,1
64689,P35247,1
64689,P19367,1
439284,P19367,1
44462678,P19367,1
39562,P19367,1
64689,P46926,1
446113,P46926,1
440996,P46926,1
64689,P04745,1
7405,P04745,1
5288564,P04745,1
444139,P04745,1
448009,P04745,1
64689,Q9BW91,1
447634,Q9BW91,1
64689,P04746,1
441480,P04746,1
7405,P04746,1
5288564,P04746,1
444139,P04746,1
9811704,P04746,1
449167,P04746,1
448828,P04746,1
444440,P04746,1
449164,P04746,1
449165,P04746,1
4369394,P04746,1
4369393,P04746,1
41774,P04746,1
64689,P05162,1
64689,Q6UWM7,1
445245,Q6UWM7,1
445228,Q6UWM7,1
440104,Q6UWM7,1
656902,Q6UWM7,1
64689,P19961,1
439186,P19961,1
7405,P19961,1
5288564,P19961,1
444440,P19961,1
980,P19961,1
192826,P19961,1
445237,P19961,1
5288724,P19961,1
41774,P19961,1
64689,Q6L8H2,1
64689,Q701N4,1
7405,Q701N4,1
64689,Q7Z4J2,1
6031,Q7Z4J2,1
8629,Q7Z4J2,1
440995,Q7Z4J2,1
6030,Q7Z4J2,1
64689,O14594,1
24759,O14594,1
119138,O14594,1
64689,O60264,1
444914,O60264,1
64689,Q9BZZ2,1
444885,Q9BZZ2,1
5287969,P00533,1
176870,P00533,1
11671467,P00533,1
68165256,P00533,1
3676,P00533,1
DB06021,P00533,1
DB15035,P00533,1
DB05524,P00533,1
46937083,P00533,1
4708,P00533,1
1400,P00533,1
3081361,P00533,1
71398,P00533,1
10458325,P00533,1
24905142,P00533,1
57390074,P00533,1
89670174,P00533,1
137321162,P00533,1
71226662,P00533,1
71556703,P00533,1
24821094,P00533,1
44607530,P00533,1
72734520,P00533,1
11681588,P00533,1
135398510,P00533,1
121231412,P00533,1
10297043,P00533,1
5328804,P00533,1
2051,P00533,1
5328779,P00533,1
2063,P00533,1
24739943,P00533,1
118861389,P00533,1
78209992,P00533,1
10437018,P00533,1
11349170,P00533,1
2427,P00533,1
156414,P00533,1
2857,P00533,1
137321167,P00533,1
24756910,P00533,1
11566580,P00533,1
9843206,P00533,1
9549299,P00533,1
118607832,P00533,1
6918508,P00533,1
132992142,P00533,1
3795,P00533,1
121269225,P00533,1
5329099,P00533,1
4707,P00533,1
5311382,P00533,1
4709,P00533,1
6918403,P00533,1
25127713,P00533,1
11488320,P00533,1
51348455,P00533,1
51038316,P00533,1
5329006,P00533,1
51039030,P00533,1
71496458,P00533,1
156413,P00533,1
11954378,P00533,1
11954379,P00533,1
42642648,P00533,1
15606394,P00533,1
70693519,P00533,1
67307512,P00533,1
135395339,P00533,1
131634510,P00533,1
44225877,P00533,1
78357807,P00533,1
11557040,P00533,1
9915743,P00533,1
122173919,P00533,1
10184653,P00533,1
11511120,P00533,1
91668194,P00533,1
71667668,P00533,1
72703790,P00533,1
6445562,P00533,1
57335384,P00533,1
208908,P00533,1
123631,P00533,1
22024915,P00533,1
54758501,P00533,1
5287969,Q00535,1
5326739,Q00535,1
4592,Q00535,1
